Titel	UBVU-ID	zoomnr	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path	page type
XP.05092_008c (OT)	2,18E+11	VUA005000001_0033_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/74	74	75.jpg	/bis/image/75.jpg	1
XP.05092_008d (OT)	2,18E+11	VUA005000001_0034_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/75	75	76.jpg	/bis/image/76.jpg	1
XP.05092_009 (OT)	2,18E+11	VUA005000001_0035_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/76	76	77.jpg	/bis/image/77.jpg	1
XP.05092_010 (OT)	2,18E+11	VUA005000001_0036_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/77	77	78.jpg	/bis/image/78.jpg	1
XP.05092_010a (OT)	2,18E+11	VUA005000001_0037_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/78	78	79.jpg	/bis/image/79.jpg	1
XP.05092_010b (OT)	2,18E+11	VUA005000001_0038_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/79	79	80.jpg	/bis/image/80.jpg	1
XP.05092_010c (OT)	2,18E+11	VUA005000001_0039_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/80	80	81.jpg	/bis/image/81.jpg	1
XP.05092_010d (OT)	2,18E+11	VUA005000001_0040_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/81	81	82.jpg	/bis/image/82.jpg	1
XP.05092_011 (OT)	2,18E+11	VUA005000001_0041_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/82	82	83.jpg	/bis/image/83.jpg	1
XP.05092_012 (OT)	2,18E+11	VUA005000001_0042_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/83	83	84.jpg	/bis/image/84.jpg	1
XP.05092_012a (OT)	2,18E+11	VUA005000001_0043_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/84	84	85.jpg	/bis/image/85.jpg	1
XP.05092_012b (OT)	2,18E+11	VUA005000001_0044_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/85	85	86.jpg	/bis/image/86.jpg	1
XP.05092_012c (OT)	2,18E+11	VUA005000001_0045_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/86	86	87.jpg	/bis/image/87.jpg	1
XP.05092_012d (OT)	2,18E+11	VUA005000001_0046_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/87	87	88.jpg	/bis/image/88.jpg	1
XP.05092_013 (OT)	2,18E+11	VUA005000001_0047_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/88	88	89.jpg	/bis/image/89.jpg	1
